,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,StudyNo,study_no,string,,,False,,
1,AnalysisDate,analysis_date,datetime64[ns],,,True,,
2,WBC,wbc,float64,,,False,,
3,HCT,hct,float64,,,False,,
4,PLT,plt,float64,,,False,,
5,NEUCount,neucount,float64,,,False,,
6,LYMCount,lymcount,float64,,,False,,
7,MONOCount,monocount,float64,,,False,,
8,NEUPercent,neupercent,float64,,,False,,
9,LYMPercent,lympercent,float64,,,False,,
10,MONOPercent,monopercent,float64,,,False,,
11,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
